Item,Quantity,Price,Total Cost
OILSEEDS,6,8.54,51.24
ALMOND,10,8.68,86.8
MILK,10,6.25,62.5
ALMOND,10,8.68,86.8
OILSEEDS,6,8.54,51.24
OILSEEDS,6,8.54,51.24
FERTILISERS,2,4.16,8.32
ALMOND,10,8.68,86.8
LEMONS,5,1.3,6.5
LEMONS,5,1.3,6.5
ALMOND,10,8.68,86.8
EGGS,9,3.49,31.41
BANANA,1,4.69,4.69
MILK,10,6.25,62.5
MILK,10,6.25,62.5
ONION,6,4.45,26.7
FERTILISERS,2,4.16,8.32
ALMOND,10,8.68,86.8
BANANA,1,4.69,4.69
FERTILISERS,2,4.16,8.32
EGGS,9,3.49,31.41
MANGO,10,5.33,53.3
MILK,10,6.25,62.5
MILK,10,6.25,62.5
BANANA,1,4.69,4.69
APPLES,10,4.48,44.8
ONION,6,4.45,26.7
ONION,6,4.45,26.7
ONION,6,4.45,26.7
MANGO,10,5.33,53.3
MILK,10,6.25,62.5
MANGO,10,5.33,53.3
MILK,10,6.25,62.5
ONION,6,4.45,26.7
ONION,6,4.45,26.7
MANGO,10,5.33,53.3
OILSEEDS,6,8.54,51.24
BANANA,1,4.69,4.69
ONION,6,4.45,26.7
APPLES,10,4.48,44.8
ALMOND,10,8.68,86.8
OILSEEDS,6,8.54,51.24
LEMONS,5,1.3,6.5
MILK,10,6.25,62.5
APPLES,10,4.48,44.8
OILSEEDS,6,8.54,51.24
FERTILISERS,2,4.16,8.32
BANANA,1,4.69,4.69
LEMONS,5,1.3,6.5
FERTILISERS,2,4.16,8.32
BANANA,1,4.69,4.69
ONION,6,4.45,26.7
OILSEEDS,6,8.54,51.24
EGGS,9,3.49,31.41
EGGS,9,3.49,31.41
MILK,10,6.25,62.5
MANGO,10,5.33,53.3
BANANA,1,4.69,4.69
ALMOND,10,8.68,86.8
MANGO,10,5.33,53.3
ONION,6,4.45,26.7
BANANA,1,4.69,4.69
MANGO,10,5.33,53.3
OILSEEDS,6,8.54,51.24
LEMONS,5,1.3,6.5
EGGS,9,3.49,31.41
ONION,6,4.45,26.7
MILK,10,6.25,62.5
FERTILISERS,2,4.16,8.32
EGGS,9,3.49,31.41
BANANA,1,4.69,4.69
LEMONS,5,1.3,6.5
ONION,6,4.45,26.7
OILSEEDS,6,8.54,51.24
APPLES,10,4.48,44.8
BANANA,1,4.69,4.69
EGGS,9,3.49,31.41
MILK,10,6.25,62.5
OILSEEDS,6,8.54,51.24
OILSEEDS,6,8.54,51.24
LEMONS,5,1.3,6.5
ALMOND,10,8.68,86.8
FERTILISERS,2,4.16,8.32
LEMONS,5,1.3,6.5
FERTILISERS,2,4.16,8.32
MANGO,10,5.33,53.3
OILSEEDS,6,8.54,51.24
MANGO,10,5.33,53.3
BANANA,1,4.69,4.69
BANANA,1,4.69,4.69
APPLES,10,4.48,44.8
MILK,10,6.25,62.5
MILK,10,6.25,62.5
FERTILISERS,2,4.16,8.32
LEMONS,5,1.3,6.5
FERTILISERS,2,4.16,8.32
LEMONS,5,1.3,6.5
APPLES,10,4.48,44.8
MANGO,10,5.33,53.3
EGGS,9,3.49,31.41
